ID,total+AF8-number+AF8-employees,Department of Transportation,Department of Labor,Department of Justice,Department of the Interior,Department of Commerce,National Aeronautics and Space Administration,Department of Agriculture
174,3,0,0,0,0,0,0,1
175,6,0,0,0,0,0,0,1
176,7,0,0,0,0,0,0,1
177,1,0,0,0,0,0,0,1
178,1,0,0,0,0,0,0,1
179,2,0,0,0,0,0,0,1
180,2,0,0,0,0,0,0,1
181,3,0,0,0,0,0,0,1
182,2,0,0,0,0,0,0,1
183,1,0,0,0,0,0,0,1
184,3,0,0,0,0,0,0,1
185,13,0,0,0,0,0,0,1
186,2,0,0,0,0,0,0,1
187,2,0,0,0,0,0,0,1
188,17,0,0,0,0,0,0,1
189,5,0,0,0,0,0,0,1
190,14,0,0,0,0,0,0,1
191,2,0,0,0,0,0,0,1
192,2,0,0,0,0,0,0,1
193,1,0,0,0,0,0,0,1
194,3,0,0,0,0,0,0,1
195,1,0,0,0,0,0,0,1
196,4,0,0,0,0,0,0,1
197,1,0,0,0,0,0,0,1
198,6,0,0,0,0,0,0,1
199,3,0,0,0,0,0,0,1
200,1,0,0,0,0,0,0,1
201,1,0,0,0,0,0,0,1
202,3,0,0,0,0,0,0,1
203,1,0,0,0,0,0,0,1
204,6,0,0,0,0,0,0,1
205,11,0,0,0,0,0,0,1
206,4,0,0,0,0,0,0,1
207,9,0,0,0,0,0,0,1
208,3,0,0,0,0,0,0,1
209,4,0,0,0,0,0,0,1
210,15,0,0,0,0,0,0,1
211,5,0,0,0,0,0,0,1
212,1,0,0,0,0,0,0,1
213,1,0,0,0,0,0,0,1
214,16,0,0,0,0,0,0,1
215,1,0,0,0,0,0,0,1
216,4,0,0,0,0,0,0,1
217,2,0,0,0,0,0,0,1
218,6,0,0,0,0,0,0,1
219,3,0,0,0,0,0,0,1
220,2,0,0,0,0,0,0,1
221,3,0,0,0,0,0,0,1
222,4,0,0,0,0,0,0,1
223,1,0,0,0,0,0,0,1
224,1,0,0,0,0,0,0,1
225,2,0,0,0,0,0,0,1
226,1,0,0,0,0,0,0,1
