ID,total+AF8-number+AF8-employees,Department of Transportation,Department of Labor,Department of Justice,Department of the Interior,Department of Commerce,National Aeronautics and Space Administration,Department of Agriculture
2304,2,0,0,0,0,0,0,1
2305,5,0,0,0,0,0,0,1
2306,4,0,0,0,0,0,0,0
2307,15,0,0,0,0,0,0,0
2308,3,0,0,0,0,0,0,0
2309,9,0,0,0,0,0,0,0
2310,1,0,0,0,0,0,0,0
2311,1,0,0,0,0,0,0,0
2312,9,0,0,0,0,0,0,0
2313,3,0,0,0,0,0,0,0
2314,2,0,0,0,0,0,0,0
2315,1,0,0,0,0,0,0,0
2316,7,0,0,0,0,0,0,0
2317,1,0,0,0,0,0,0,0
2318,8,0,0,0,0,0,0,0
2319,1,0,0,0,0,0,0,0
2320,1,0,0,0,0,0,0,0
2321,5,0,0,0,0,0,0,0
2322,2,0,0,0,0,0,0,0
2323,7,0,0,0,0,0,0,0
2324,3,0,0,0,0,0,0,0
2325,1,0,0,0,0,0,0,0
2326,3,0,0,0,0,0,0,0
2327,1,0,0,0,0,0,0,0
2328,1,0,0,0,0,0,0,0
2329,2,0,0,0,0,0,0,0
2330,5,0,0,0,0,0,0,0
2331,1,0,0,0,0,0,0,0
2332,3,0,0,0,0,0,0,0
2333,4,0,0,0,0,0,0,0
2334,14,0,0,0,0,0,0,0
2335,1,0,0,0,0,0,0,0
2336,4,0,0,0,0,0,0,0
2337,1,0,0,0,0,0,0,0
2338,3,0,0,0,0,0,0,0
2339,1,0,0,0,0,0,0,0
2340,1,0,0,0,0,0,0,0
2341,1,0,0,0,0,0,0,0
2342,1,0,0,0,0,0,0,0
2343,3,0,0,0,0,0,0,0
2344,7,0,0,0,0,0,0,0
2345,1,0,0,0,0,0,0,0
2346,4,0,0,0,0,0,0,0
2347,8,0,0,0,0,0,0,0
2348,2,0,0,0,0,0,0,0
2349,9,0,0,0,0,0,0,0
2350,8,0,0,0,0,0,0,0
2351,9,0,0,0,0,0,0,0
2352,9,0,0,0,0,0,0,0
2353,3,0,0,0,0,0,0,0
2354,5,0,0,0,0,0,0,0
2355,7,0,0,0,0,0,0,0
2356,3,0,0,0,0,0,0,0
2357,2,0,0,0,0,0,0,0
2358,8,0,0,0,0,0,0,0
2359,1,0,0,0,0,0,0,0
2360,4,0,0,0,0,0,0,0
2361,1,0,0,0,0,0,0,0
2362,5,0,0,0,0,0,0,0
2363,6,0,0,0,0,0,0,0
2364,2,0,0,0,0,0,0,0
2365,3,0,0,0,0,0,0,0
2366,2,0,0,0,0,0,0,0
2367,1,0,0,0,0,0,0,0
2368,1,0,0,0,0,0,0,0
2369,1,0,0,0,0,0,0,0
2370,5,0,0,0,0,1,0,0
2371,3,0,0,0,0,1,0,0
2372,39,0,0,0,0,1,0,0
2373,8,0,0,0,0,1,0,0
2374,7,0,0,0,0,1,0,0
2375,2,0,0,0,0,1,0,0
2376,5,0,0,0,0,1,0,0
2377,1,0,0,0,0,1,0,0
2378,4,0,0,0,0,1,0,0
2379,7,0,0,0,0,1,0,0
2380,21,0,0,0,0,1,0,0
2381,1,0,0,0,0,1,0,0
2382,3,0,0,0,0,1,0,0
2383,7,0,0,0,0,1,0,0
2384,112,0,0,0,0,1,0,0
2385,5,0,0,0,0,1,0,0
2386,124,0,0,0,0,1,0,0
2387,2,0,0,0,0,1,0,0
2388,2,0,0,0,0,1,0,0
2389,6,0,0,0,0,1,0,0
2390,19,0,0,0,0,0,0,1
2391,6,0,0,0,0,0,0,1
2392,3,0,0,0,0,0,0,1
2393,15,0,0,0,0,0,0,1
2394,11,0,0,0,0,0,0,1
2395,17,0,0,0,0,0,0,1
2396,25,0,0,0,0,0,0,1
2397,2,0,0,0,0,0,0,1
2398,2,0,0,0,0,0,0,1
2399,5,0,0,0,0,0,0,1
2400,1,0,0,0,0,0,0,1
2401,5,0,0,0,0,0,0,1
2402,4,0,0,0,0,0,0,1
2403,27,0,0,0,0,0,0,1
2404,8,0,0,0,0,0,0,1
2405,1,0,0,0,0,0,0,1
2406,8,0,0,0,0,0,0,1
2407,2,0,0,0,0,0,0,0
2408,5,0,0,0,0,0,0,0
2409,11,0,0,0,0,0,0,0
2410,25,0,0,0,0,0,0,0
2411,13,0,0,0,0,0,0,0
2412,1,0,0,0,0,0,0,0
2413,5,0,0,0,0,0,0,0
2414,1,0,0,0,0,0,0,0
2415,1,0,0,0,0,0,0,0
2416,3,0,0,0,0,0,0,0
2417,5,0,0,0,0,0,0,0
2418,2,0,0,0,0,0,0,0
2419,2,0,0,0,0,0,0,1
2420,1,0,0,0,0,0,0,1
2421,4,0,0,0,0,0,0,1
2422,2,0,0,0,0,0,0,1
2423,5,0,0,0,0,0,0,1
2424,5,0,0,0,0,0,0,1
2425,7,0,0,0,0,0,0,1
2426,6,0,0,0,0,0,0,1
2427,15,0,0,0,0,0,0,1
2428,1,0,0,0,0,0,0,1
2429,9,0,0,0,0,0,0,1
2430,2,0,0,0,0,0,0,1
2431,17,0,0,0,0,0,0,1
2432,7,0,0,0,0,0,0,1
2433,5,0,0,0,0,0,0,1
2434,1,0,0,0,0,0,0,1
2435,1,0,0,0,0,0,0,1
2436,7,0,0,0,0,0,0,0
2437,7,0,0,0,0,0,0,0
2438,33,0,0,0,0,0,0,0
2439,7,0,0,0,0,0,0,0
2440,12,0,0,0,0,0,0,0
2441,5,0,0,0,0,0,0,0
2442,13,0,0,0,0,0,0,0
2443,3,0,0,0,0,0,0,0
2444,4,0,0,0,0,0,0,0
2445,13,0,0,0,0,0,0,0
2446,13,0,0,0,0,0,0,0
2447,1,0,0,0,0,0,0,0
2448,1,0,0,0,0,0,0,0
2449,1,0,0,0,0,0,0,0
2450,4,0,0,0,0,0,0,0
2451,6,0,0,0,0,0,0,0
2452,1,0,0,0,0,0,0,0
2453,7,0,0,0,0,0,0,0
2454,4,0,0,0,0,0,0,0
2455,4,0,0,0,0,0,0,0
2456,2,0,0,0,0,0,0,0
2457,10,0,0,0,0,0,0,0
2458,10,0,0,0,0,0,0,0
2459,1,0,0,0,0,0,0,0
2460,6,0,0,0,0,0,0,0
2461,4,0,0,0,0,0,0,0
2462,9,0,0,0,0,0,0,0
2463,2,0,0,0,0,0,0,0
2464,5,0,0,0,0,0,0,0
2465,7,0,0,0,0,0,0,0
2466,9,0,0,0,0,0,0,0
2467,1,0,0,0,0,0,0,1
2468,2,0,0,0,0,0,0,1
2469,106,0,0,0,0,0,0,1
2470,22,0,0,0,0,0,0,1
2471,4,0,0,0,0,0,0,1
2472,21,0,0,0,0,0,0,1
2473,2,0,0,0,0,0,0,1
2474,2,0,0,0,0,0,0,1
2475,3,0,0,0,0,0,0,1
2476,3,0,0,0,0,0,0,1
2477,1,0,0,0,0,0,0,1
2478,1,0,0,0,0,0,0,1
2479,8,0,0,0,0,0,0,1
2480,14,0,0,0,0,0,0,1
2481,5,0,0,0,0,0,0,1
2482,34,0,0,0,0,0,0,1
2483,1,0,0,0,0,0,0,1
2484,2,0,0,0,0,0,0,1
2485,3,0,0,0,0,0,0,1
2486,7,0,0,0,0,0,0,1
2487,2,0,0,0,0,0,0,1
2488,2,0,0,0,0,0,0,1
2489,1,0,0,0,0,0,0,0
2490,6,0,0,0,0,0,0,0
2491,2,0,0,0,0,0,0,0
2492,8,0,0,0,0,0,0,0
2493,5,0,0,0,0,0,0,0
2494,4,0,0,0,0,0,0,0
2495,2,0,0,0,0,0,0,0
2496,6,0,0,0,0,0,0,0
2497,2,0,0,0,0,0,0,0
2498,2,0,0,0,0,0,0,0
2499,42,0,0,0,0,0,0,0
2500,3,0,0,0,0,0,0,0
2501,5,0,0,0,0,0,0,0
2502,1,0,0,0,0,0,0,0
2503,5,0,0,0,0,0,0,0
2504,1,0,0,0,0,0,0,0
2505,7,0,0,0,0,0,0,0
2506,16,0,0,0,0,0,0,0
2507,14,0,0,0,0,0,0,0
2508,6,0,0,0,0,0,0,0
2509,2,0,0,0,0,0,0,0
2510,5,0,0,0,0,0,0,0
2511,8,0,0,0,0,0,0,0
2512,12,0,0,0,0,0,0,0
2513,1,0,0,0,0,0,0,0
2514,3,0,0,0,0,0,0,0
2515,13,0,0,0,0,0,0,0
2516,1,0,0,0,0,0,0,0
2517,11,0,0,0,0,0,0,0
2518,1,0,0,0,0,0,0,0
2519,4,0,0,0,0,0,0,0
2520,3,0,0,0,0,0,0,0
2521,1,0,0,0,0,0,0,0
2522,5,0,0,0,0,0,0,1
2523,7,0,0,0,0,0,0,1
2524,4,0,0,0,0,0,0,1
2525,4,0,0,0,0,0,0,1
2526,1,0,0,0,0,0,0,1
2527,5,0,0,0,0,0,0,1
2528,1,0,0,0,0,0,0,1
2529,7,0,0,0,0,0,0,1
2530,11,0,0,0,0,0,0,1
2531,1,0,0,0,0,0,0,1
2532,1,0,0,0,0,0,0,1
2533,4,0,0,0,0,0,0,1
2534,2,0,0,0,0,0,0,1
2535,1,0,0,0,0,0,0,1
2536,7,0,0,0,0,0,0,1
2537,3,0,0,0,0,0,0,1
2538,1,0,0,0,0,0,0,1
2539,1,0,0,0,0,0,0,1
2540,2,0,0,0,0,0,0,1
2541,3,0,0,0,0,0,0,1
2542,2,0,0,0,0,0,0,1
2543,6,0,0,0,0,0,0,1
2544,1,0,0,0,0,0,0,0
2545,4,0,0,0,0,0,0,0
2546,1,0,0,0,0,0,0,0
2547,7,0,0,0,0,0,0,0
2548,2,0,0,0,0,0,0,0
2549,8,0,0,0,0,0,0,0
2550,1,0,0,0,0,0,0,0
2551,1,0,0,0,0,0,0,0
2552,1,0,0,0,0,0,0,0
2553,3,0,0,0,0,0,0,0
2554,1,0,0,0,0,0,0,0
2555,1,0,0,0,0,0,0,0
2556,4,0,0,0,0,0,0,0
2557,5,0,0,0,0,0,0,0
2558,1,0,0,0,0,0,0,0
2559,1,0,0,0,0,0,0,0
2560,4,0,0,0,0,0,0,0
2561,1,0,0,0,0,0,0,0
2562,2,0,0,0,0,0,0,0
2563,1,0,0,0,0,0,0,0
2564,3,0,0,0,0,0,0,0
2565,14,0,0,0,0,0,0,0
2566,8,0,0,0,0,0,0,0
2567,1,0,0,0,0,0,0,0
2568,2,0,0,0,0,0,0,0
2569,3,0,0,0,0,0,0,0
2570,4,0,0,0,0,0,0,0
2571,4,0,0,0,0,0,0,0
2572,2,0,0,0,0,0,0,0
2573,3,0,0,0,0,0,0,0
2574,2,0,0,0,0,0,0,0
2575,1,0,0,0,0,0,0,0
2576,2,0,0,0,0,0,0,0
2577,16,0,0,0,0,0,0,0
2578,6,0,0,0,0,0,0,0
2579,7,0,0,0,0,0,0,0
2580,3,0,0,0,0,0,0,0
2581,5,0,0,0,0,0,0,0
2582,2,0,0,0,0,0,0,0
2583,1,0,0,0,0,0,0,0
2584,5,0,0,0,0,0,0,0
2585,2,0,0,0,0,0,0,0
2586,3,0,0,0,0,0,0,0
2587,7,0,0,0,0,0,0,0
2588,3,0,0,0,0,0,0,0
2589,2,0,0,0,0,0,0,0
2590,2,0,0,0,0,0,0,0
2591,2,0,0,0,0,0,0,0
2592,1,0,0,0,0,0,0,0
2593,3,0,0,0,0,0,0,0
2594,8,0,0,0,0,0,0,0
2595,3,0,0,0,0,0,0,0
2596,1,0,0,0,0,0,0,0
2597,1,0,0,0,0,0,0,0
2598,2,0,0,0,0,0,0,0
2599,1,0,0,0,0,0,0,0
2600,17,0,0,0,0,0,0,1
2601,6,0,0,0,0,0,0,1
2602,3,0,0,0,0,0,0,1
2603,2,0,0,0,0,0,0,1
2604,1,0,0,0,0,0,0,1
2605,1,0,0,0,0,0,0,1
2606,4,0,0,0,0,0,0,1
2607,2,0,0,0,0,0,0,1
2608,10,0,0,0,0,0,0,0
2609,15,0,0,0,0,0,0,1
2610,19,0,0,0,0,0,0,1
2611,3,0,0,0,0,0,0,1
2612,3,0,0,0,0,0,0,0
2613,9,0,0,0,0,0,0,1
2614,4,0,0,0,0,0,0,0
2615,14,0,0,0,0,0,0,0
2616,6,0,0,0,0,0,0,1
2617,4,0,0,0,0,0,0,0
2618,3,0,0,0,0,0,0,0
2619,14,0,0,0,0,0,0,0
2620,18,0,0,0,0,0,0,0
2621,7,0,0,0,0,0,0,0
2622,12,0,0,0,0,0,0,0
2623,4,0,0,0,0,0,0,0
2624,10,0,0,0,0,0,0,0
2625,1,0,0,0,0,0,0,0
2626,5,0,0,0,0,0,0,0
2627,29,0,0,0,0,0,0,0
2628,1,0,0,0,0,0,0,0
2629,3,0,0,0,0,0,0,0
2630,20,0,0,0,0,0,0,0
2631,8,0,0,0,0,0,0,0
2632,1,0,0,0,0,1,0,0
2633,4,0,0,0,0,1,0,0
2634,9,0,0,0,0,1,0,0
2635,2,0,0,0,0,1,0,0
2636,5,0,0,0,0,1,0,0
2637,2,0,0,0,0,1,0,0
2638,3,0,0,0,0,1,0,0
2639,1,0,0,0,0,1,0,0
2640,2,0,0,0,0,1,0,0
2641,6,0,0,0,0,1,0,0
2642,9,0,0,0,0,1,0,0
2643,1,0,0,0,0,0,0,0
2644,3,0,0,0,0,0,0,0
2645,3,0,0,0,0,0,0,0
2646,11,0,0,0,0,0,0,0
2647,2,0,0,0,0,0,0,0
2648,2,0,0,0,0,0,0,0
2649,14,0,0,0,0,0,0,0
2650,4,0,0,0,0,0,0,0
2651,3,0,0,0,0,0,0,0
2652,1,0,0,0,0,0,0,0
2653,1,0,0,0,0,0,0,0
2654,1,0,0,0,0,0,0,0
2655,1,0,0,0,0,0,0,0
2656,3,0,0,0,0,0,0,0
2657,4,0,0,0,0,0,0,0
2658,2,0,0,0,0,0,0,0
2659,9,0,0,0,0,0,0,0
2660,5,0,0,0,0,0,0,0
2661,1,0,0,0,0,0,0,0
2662,4,0,0,0,0,0,0,0
2663,1,0,0,0,0,0,0,0
2664,7,0,0,0,0,0,0,0
2665,1,0,0,0,0,0,0,0
2666,1,0,0,0,0,0,0,0
2667,1,0,0,0,0,0,0,0
2668,3,0,0,0,0,0,0,0
2669,15,0,0,0,0,0,0,0
2670,5,0,0,0,0,0,0,0
2671,7,0,0,0,0,0,0,0
2672,3,0,0,0,0,0,0,0
2673,6,0,0,0,0,0,0,0
2674,12,0,0,0,0,0,0,0
2675,5,0,0,0,0,0,0,0
2676,7,0,0,0,0,0,0,0
2677,1,0,0,0,0,0,0,0
2678,3,0,0,0,0,0,0,0
2679,9,0,0,0,0,0,0,0
2680,1,0,0,0,0,0,0,0
2681,1,0,0,0,0,0,0,0
2682,3,0,0,0,0,0,0,0
2683,8,0,0,0,0,0,0,0
2684,2,0,0,0,0,0,0,0
2685,4,0,0,0,0,0,0,0
2686,5,0,0,0,0,0,0,0
2687,11,0,0,0,0,0,0,0
2688,1,0,0,0,0,0,0,0
2689,23,0,0,0,0,0,0,0
2690,7,0,0,0,0,0,0,0
2691,8,0,0,0,0,0,0,0
2692,4,0,0,0,0,0,0,0
2693,7,0,0,0,0,0,0,0
2694,3,0,0,0,0,0,0,0
2695,3,0,0,0,0,0,0,0
2696,4,0,0,0,0,0,0,0
2697,3,0,0,0,0,0,0,0
2698,53,0,0,0,0,0,0,0
2699,2,0,0,0,0,0,0,0
2700,1,0,0,0,0,0,0,0
2701,1,0,0,0,0,0,0,0
2702,1,0,0,0,0,0,0,0
2703,6,0,0,0,0,0,0,0
2704,12,0,0,0,0,0,0,0
2705,24,0,0,0,0,0,0,0
2706,1,0,0,0,0,0,0,0
2707,3,0,0,0,0,0,0,0
2708,1,0,0,0,0,0,0,0
2709,1,0,0,0,0,0,0,0
2710,3,0,0,0,0,0,0,0
2711,1,0,0,0,0,0,0,0
2712,8,0,0,0,0,0,0,0
2713,11,0,0,0,0,0,0,0
2714,1,0,0,0,0,0,0,0
2715,5,0,0,0,0,0,0,0
2716,8,0,0,0,0,0,0,0
2717,7,0,0,0,0,0,0,0
2718,2,0,0,0,0,0,0,0
2719,1,0,0,0,0,0,0,0
2720,1,0,0,0,0,0,0,0
2721,5,0,0,0,0,0,0,0
2722,9,0,0,0,0,0,0,0
2723,6,0,0,0,0,0,0,0
2724,7,0,0,0,0,0,0,0
2725,5,0,0,0,0,0,0,0
2726,1,0,0,0,0,0,0,0
2727,1,0,0,0,0,0,0,0
2728,6,0,0,0,0,0,0,0
2729,3,0,0,0,0,0,0,0
2730,6,0,0,0,0,0,0,0
2731,7,0,0,0,0,0,0,0
2732,1,0,0,0,0,0,0,0
2733,1,0,0,0,0,0,0,0
2734,1,0,0,0,0,0,0,0
2735,2,0,0,0,0,0,0,0
2736,5,0,0,0,0,0,0,0
2737,6,0,0,0,0,0,0,0
2738,4,0,0,0,0,0,0,0
2739,3,0,0,0,0,0,0,0
2740,1,0,0,0,0,0,0,0
2741,1,0,0,0,0,0,0,0
2742,1,0,0,0,0,0,0,0
2743,9,0,0,0,0,0,0,0
2744,7,0,0,0,0,0,0,0
2745,3,0,0,0,1,0,0,0
2746,4,0,0,0,1,0,0,0
2747,2,0,0,0,1,0,0,0
2748,4,0,0,0,1,0,0,0
2749,2,0,0,0,1,0,0,0
2750,16,0,0,0,0,0,0,0
2751,1,0,0,0,0,0,0,0
2752,18,0,0,0,0,0,0,0
2753,5,0,0,0,0,0,0,0
2754,28,0,0,0,0,0,0,0
2755,216,0,0,0,0,0,0,0
2756,1,0,0,0,0,0,0,0
2757,13,0,0,0,0,0,0,0
2758,198,0,0,0,0,0,0,0
2759,278,0,0,0,0,0,0,0
2760,249,0,0,0,0,0,0,0
2761,10,0,0,0,0,0,0,0
2762,5,0,0,0,0,0,0,0
2763,13,0,0,0,0,0,0,0
2764,8,0,0,0,0,0,0,0
2765,3,0,0,0,0,0,0,1
2766,5,0,0,0,0,0,0,1
2767,8,0,0,0,0,0,0,1
2768,1,0,0,0,0,0,0,1
2769,1,0,0,0,0,0,0,1
2770,2,0,0,0,0,0,0,0
2771,10,0,0,0,0,0,0,1
2772,2,0,0,0,0,0,0,1
2773,2,0,0,0,1,0,0,0
2774,8,0,0,0,1,0,0,0
2775,3,0,0,0,1,0,0,0
2776,3,0,0,0,1,0,0,0
2777,3,0,0,0,1,0,0,0
2778,4,0,0,0,1,0,0,0
2779,1,0,0,0,1,0,0,0
2780,4,0,0,0,1,0,0,0
2781,3,0,0,0,1,0,0,0
2782,2,0,0,0,1,0,0,0
2783,5,0,0,0,0,0,0,0
2784,4,0,0,0,0,0,0,0
2785,3,0,0,0,0,0,0,0
2786,10,0,0,0,1,0,0,0
2787,1,0,0,0,1,0,0,0
2788,3,0,0,0,1,0,0,0
2789,10,0,0,0,1,0,0,0
2790,3,0,0,0,1,0,0,0
2791,1,0,0,0,1,0,0,0
2792,4,0,0,0,1,0,0,0
2793,1,0,0,0,1,0,0,0
2794,1,0,0,0,1,0,0,0
2795,4,0,0,0,1,0,0,0
2796,2,0,0,0,1,0,0,0
2797,8,0,0,0,1,0,0,0
2798,2,0,0,0,1,0,0,0
2799,1,0,0,0,1,0,0,0
2800,1,0,0,0,1,0,0,0
2801,10,0,0,0,1,0,0,0
2802,5,0,0,0,1,0,0,0
2803,1,0,0,0,1,0,0,0
2804,1,0,0,0,1,0,0,0
2805,9,0,0,0,1,0,0,0
2806,1,0,0,0,1,0,0,0
2807,1,0,0,0,1,0,0,0
2808,1,0,0,0,0,0,0,0
2809,3,0,0,0,1,0,0,0
2810,1,0,0,0,1,0,0,0
2811,3,0,0,0,1,0,0,0
2812,4,0,0,0,1,0,0,0
2813,7,0,0,0,1,0,0,0
2814,14,0,0,0,1,0,0,0
2815,12,0,0,0,1,0,0,0
2816,7,0,0,0,1,0,0,0
2817,2,0,0,0,1,0,0,0
2818,7,0,0,0,1,0,0,0
2819,4,0,0,0,1,0,0,0
2820,9,0,0,0,0,0,0,1
2821,2,0,0,0,0,0,0,1
2822,3,0,0,0,0,0,0,1
2823,2,0,0,0,0,0,0,1
2824,1,0,0,0,0,0,0,1
2825,11,0,0,0,0,0,0,1
2826,2,0,0,0,0,0,0,1
2827,6,0,0,0,0,0,0,1
2828,1,0,0,0,0,0,0,1
2829,3,0,0,0,0,0,0,1
2830,11,0,0,0,0,0,0,1
2831,1,0,0,0,0,0,0,1
2832,5,0,0,0,0,0,0,1
2833,3,0,0,0,0,0,0,1
2834,2,0,0,0,0,0,0,1
2835,1,0,0,0,0,0,0,1
2836,1,0,0,0,0,0,0,1
2837,22,0,0,0,0,0,0,1
2838,13,0,0,0,0,0,0,1
2839,1,0,0,0,0,0,0,1
2840,4,0,0,0,0,0,0,1
2841,1,0,0,0,0,0,0,1
2842,3,0,0,0,0,0,0,0
2843,5,0,0,0,0,0,0,0
2844,1,0,0,0,0,0,0,0
2845,4,0,0,0,0,0,0,0
2846,2,0,0,0,0,0,0,0
2847,1,0,0,0,0,0,0,0
2848,2,0,0,0,0,0,0,0
2849,7,0,0,0,0,0,0,0
2850,2,0,0,0,0,0,0,0
2851,2,0,0,0,1,0,0,0
2852,2,0,0,0,1,0,0,0
2853,5,0,0,0,1,0,0,0
2854,2,0,0,0,1,0,0,0
2855,3,0,0,0,1,0,0,0
2856,2,0,0,0,1,0,0,0
2857,1,0,0,0,1,0,0,0
2858,1,0,0,0,1,0,0,0
2859,9,0,0,0,1,0,0,0
2860,4,0,0,0,1,0,0,0
2861,3,0,0,0,1,0,0,0
2862,9,0,0,0,1,0,0,0
2863,5,0,0,0,1,0,0,0
2864,5,0,0,0,1,0,0,0
2865,7,0,0,0,1,0,0,0
2866,3,0,0,0,1,0,0,0
2867,5,0,0,0,1,0,0,0
2868,1,0,0,0,1,0,0,0
2869,1,0,0,0,0,0,0,0
2870,1,0,0,0,0,0,0,0
2871,1,0,0,0,0,0,0,0
2872,1,0,0,0,0,0,0,0
2873,6,0,0,0,0,0,0,0
2874,2,0,0,0,0,0,0,0
2875,3,0,0,0,0,0,0,0
2876,3,0,0,0,0,0,0,0
2877,1,0,0,0,0,0,0,0
2878,3,0,0,0,0,0,0,0
2879,21,0,0,0,0,0,0,0
2880,4,0,0,0,0,0,0,0
2881,11,0,0,0,0,0,0,0
2882,6,0,0,0,0,0,0,0
2883,3,0,0,0,0,0,0,0
2884,5,0,0,0,0,0,0,0
2885,6,0,0,0,0,0,0,0
2886,2,0,0,0,0,0,0,0
2887,2,0,0,0,0,0,0,1
2888,1,0,0,0,0,0,0,1
2889,1,0,0,0,0,0,0,0
2890,6,0,0,0,0,0,0,1
2891,5,0,0,0,0,0,0,1
2892,4,0,0,0,0,0,0,1
2893,3,0,0,0,0,0,0,1
2894,2,0,0,0,0,0,0,1
2895,2,0,0,0,0,0,0,1
2896,2,0,0,0,0,0,0,1
2897,2,0,0,0,0,0,0,1
2898,2,0,0,0,1,0,0,0
2899,1,0,0,0,1,0,0,0
2900,3,0,0,0,1,0,0,0
2901,1,0,0,0,0,0,0,0
2902,45,0,0,0,1,0,0,0
2903,4,0,0,0,1,0,0,0
2904,1,0,0,0,1,0,0,0
2905,1,0,0,0,1,0,0,0
2906,2,0,0,0,1,0,0,0
2907,6,0,0,0,1,0,0,0
2908,6,0,0,0,1,0,0,0
2909,1,0,0,0,1,0,0,0
2910,2,0,0,0,1,0,0,0
2911,3,0,0,0,1,0,0,0
2912,2,0,0,0,1,0,0,0
2913,3,0,0,0,1,0,0,0
2914,3,0,0,0,1,0,0,0
2915,2,0,0,0,1,0,0,0
2916,2,0,0,0,1,0,0,0
2917,20,0,0,0,1,0,0,0
2918,5,0,0,0,1,0,0,0
2919,6,0,0,0,1,0,0,0
2920,11,0,0,0,1,0,0,0
2921,9,0,0,0,1,0,0,0
2922,6,0,0,0,1,0,0,0
2923,3,0,0,0,1,0,0,0
2924,3,0,0,0,1,0,0,0
2925,1,0,0,0,1,0,0,0
2926,2,0,0,0,1,0,0,0
2927,1,0,0,0,1,0,0,0
2928,3,0,0,0,1,0,0,0
2929,4,0,0,0,1,0,0,0
2930,2,0,0,0,1,0,0,0
2931,6,0,0,0,1,0,0,0
2932,5,0,0,0,1,0,0,0
2933,3,0,0,0,1,0,0,0
2934,5,0,0,0,1,0,0,0
2935,1,0,0,0,1,0,0,0
2936,2,0,0,0,1,0,0,0
2937,1,0,0,0,1,0,0,0
2938,25,0,0,0,1,0,0,0
2939,1,0,0,0,1,0,0,0
2940,4,0,0,0,1,0,0,0
2941,2,0,0,0,1,0,0,0
2942,3,0,0,0,1,0,0,0
2943,1,0,0,0,1,0,0,0
2944,1,0,0,0,0,0,0,1
2945,2,0,0,0,0,0,0,1
2946,4,0,0,0,0,0,0,1
2947,19,0,0,0,0,0,0,1
2948,5,0,0,0,0,0,0,1
2949,5,0,0,0,0,0,0,0
2950,12,0,0,0,0,0,0,1
2951,3,0,0,0,0,0,0,1
2952,1,0,0,0,0,0,0,1
2953,3,0,0,0,0,0,0,1
2954,2,0,0,0,0,0,0,1
2955,1,0,0,0,0,0,0,1
2956,1,0,0,0,0,0,0,1
2957,2,0,0,0,0,0,0,1
2958,1,0,0,0,0,0,0,1
2959,2,0,0,0,0,0,0,1
2960,6,0,0,0,0,0,0,1
2961,5,0,0,0,0,0,0,1
2962,1,0,0,0,0,0,0,1
2963,5,0,0,0,0,0,0,1
2964,6,0,0,0,0,0,0,1
2965,3,0,0,0,0,0,0,1
2966,4,0,0,0,1,0,0,0
2967,4,0,0,0,1,0,0,0
2968,4,0,0,0,1,0,0,0
2969,1,0,0,0,1,0,0,0
2970,1,0,0,0,1,0,0,0
2971,1,0,0,0,1,0,0,0
2972,2,0,0,0,1,0,0,0
2973,1,0,0,0,1,0,0,0
2974,2,0,0,0,1,0,0,0
2975,4,0,0,0,0,0,0,0
2976,12,0,0,0,0,0,0,0
2977,9,0,0,0,0,0,0,0
2978,10,0,0,0,1,0,0,0
2979,3,0,0,0,1,0,0,0
2980,2,0,0,0,1,0,0,0
2981,1,0,0,0,1,0,0,0
2982,5,0,0,0,1,0,0,0
2983,1,0,0,0,1,0,0,0
2984,2,0,0,0,1,0,0,0
2985,1,0,0,0,1,0,0,0
2986,6,0,0,0,1,0,0,0
2987,5,0,0,0,1,0,0,0
2988,4,0,0,0,1,0,0,0
2989,1,0,0,0,0,0,0,1
2990,1,0,0,0,0,0,0,1
2991,2,0,0,0,0,0,0,1
2992,7,0,0,0,0,0,0,1
2993,2,0,0,0,0,0,0,1
2994,7,0,0,0,0,0,0,1
2995,3,0,0,0,0,0,0,1
2996,1,0,0,0,0,0,0,0
2997,6,0,0,0,0,0,0,0
2998,4,0,0,0,0,0,0,0
2999,5,0,0,0,0,0,0,0
3000,3,0,0,0,0,0,0,0
3001,4,0,0,0,0,0,0,0
3002,12,0,0,0,0,0,0,0
3003,19,0,0,0,0,0,0,0
3004,2,0,0,0,0,0,0,0
3005,4,0,0,0,0,0,0,0
3006,4,0,0,0,0,0,0,0
3007,7,0,0,0,0,0,0,0
3008,4,0,0,0,0,0,0,0
3009,2,0,0,0,0,0,0,1
3010,3,0,0,0,0,0,0,1
3011,2,0,0,0,0,0,0,1
3012,2,0,0,0,0,0,0,1
3013,4,0,0,0,0,0,0,1
3014,3,0,0,0,0,0,0,1
3015,1,0,0,0,1,0,0,0
3016,3,0,0,0,1,0,0,0
3017,3,0,0,0,1,0,0,0
3018,1,0,0,0,0,0,0,0
3019,5,0,0,0,0,0,0,0
3020,2,0,0,0,0,0,0,0
3021,2,0,0,0,0,0,0,0
3022,4,0,0,0,0,0,0,0
3023,8,0,0,0,0,0,0,0
3024,1,0,0,0,0,0,0,0
3025,17,0,0,0,1,0,0,0
3026,21,0,0,0,1,0,0,0
3027,11,0,0,0,1,0,0,0
3028,4,0,0,0,1,0,0,0
3029,1,0,0,0,1,0,0,0
3030,17,0,0,0,1,0,0,0
3031,1,0,0,0,1,0,0,0
3032,1,0,0,0,1,0,0,0
3033,6,0,0,0,1,0,0,0
3034,7,0,0,0,1,0,0,0
3035,1,0,0,0,1,0,0,0
