ID,percentage of students funded on grant,Department of Transportation,Department of Labor,Department of Justice,Department of the Interior,Department of Commerce,National Aeronautics and Space Administration,Department of Agriculture
166,75,0,0,0,0,0,0,1
167,62.5,0,0,0,0,0,0,1
168,100,0,0,0,0,0,0,1
169,100,0,0,0,0,0,0,1
170,100,0,0,0,0,0,0,1
171,60,0,0,0,0,0,0,1
172,40,0,0,0,0,0,0,1
173,25,0,0,0,0,0,0,1
174,0,0,0,0,0,0,0,1
175,66.6666666667,0,0,0,0,0,0,1
176,57.1428571429,0,0,0,0,0,0,1
177,0,0,0,0,0,0,0,1
178,100,0,0,0,0,0,0,1
179,100,0,0,0,0,0,0,1
180,0,0,0,0,0,0,0,1
181,100,0,0,0,0,0,0,1
182,0,0,0,0,0,0,0,1
183,0,0,0,0,0,0,0,1
184,0,0,0,0,0,0,0,1
185,30.7692307692,0,0,0,0,0,0,1
186,0,0,0,0,0,0,0,1
187,0,0,0,0,0,0,0,1
188,35.2941176471,0,0,0,0,0,0,1
189,0,0,0,0,0,0,0,1
190,35.7142857143,0,0,0,0,0,0,1
191,100,0,0,0,0,0,0,1
192,100,0,0,0,0,0,0,1
193,100,0,0,0,0,0,0,1
194,100,0,0,0,0,0,0,1
195,0,0,0,0,0,0,0,1
196,75,0,0,0,0,0,0,1
197,100,0,0,0,0,0,0,1
198,33.3333333333,0,0,0,0,0,0,1
199,33.3333333333,0,0,0,0,0,0,1
200,0,0,0,0,0,0,0,1
201,0,0,0,0,0,0,0,1
202,0,0,0,0,0,0,0,1
203,0,0,0,0,0,0,0,1
204,0,0,0,0,0,0,0,1
205,0,0,0,0,0,0,0,1
206,0,0,0,0,0,0,0,1
207,0,0,0,0,0,0,0,1
208,0,0,0,0,0,0,0,1
209,0,0,0,0,0,0,0,1
210,0,0,0,0,0,0,0,1
211,0,0,0,0,0,0,0,1
212,0,0,0,0,0,0,0,1
213,0,0,0,0,0,0,0,1
214,31.25,0,0,0,0,0,0,1
215,0,0,0,0,0,0,0,1
216,50,0,0,0,0,0,0,1
217,0,0,0,0,0,0,0,1
218,33.3333333333,0,0,0,0,0,0,1
219,0,0,0,0,0,0,0,1
220,0,0,0,0,0,0,0,1
221,0,0,0,0,0,0,0,1
222,0,0,0,0,0,0,0,1
223,0,0,0,0,0,0,0,1
224,0,0,0,0,0,0,0,1
225,0,0,0,0,0,0,0,1
226,0,0,0,0,0,0,0,1
227,0,0,0,0,0,0,0,1
228,0,0,0,0,0,0,0,1
229,0,0,0,0,0,0,0,1
230,0,0,0,0,0,0,0,1
231,60,0,0,0,0,0,0,1
232,100,0,0,0,0,0,0,1
233,52.380952381,0,0,0,0,0,0,1
234,0,0,0,0,0,0,0,1
235,5.2631578947,0,0,0,0,0,0,1
236,0,0,0,0,0,0,0,1
237,0,0,0,0,0,0,0,1
238,0,0,0,0,0,0,0,1
239,28.5714285714,0,0,0,0,0,0,1
240,60,0,0,0,0,0,0,1
241,0,0,0,0,0,0,0,1
242,0,0,0,0,0,0,0,1
243,0,0,0,0,0,0,0,1
244,0,0,0,0,0,0,0,1
245,0,0,0,0,0,0,0,1
246,0,0,0,0,0,0,0,1
247,0,0,0,0,0,0,0,1
248,57.1428571429,0,0,0,0,0,0,1
249,0,0,0,0,0,0,0,1
250,0,0,0,0,0,0,0,1
251,0,0,0,0,0,0,0,1
252,0,0,0,0,0,0,0,1
253,0,0,0,0,0,0,0,1
254,0,0,0,0,0,0,0,0
255,0,0,0,0,0,0,0,0
256,0,0,0,0,0,0,1,0
257,0,0,0,0,0,0,0,0
