ID,percentage of students funded on grant,Department of Transportation,Department of Labor,Department of Justice,Department of the Interior,Department of Commerce,National Aeronautics and Space Administration,Department of Agriculture
2097,0,0,0,0,0,0,0,0
2098,12.5,0,0,0,0,1,0,0
2099,0,0,0,0,0,1,0,0
2100,33.3333333333,0,0,0,0,1,0,0
2101,0,0,0,0,0,1,0,0
2102,50,0,0,0,0,1,0,0
2103,0,0,0,0,0,1,0,0
2104,50,0,0,0,0,1,0,0
2105,0,0,0,0,0,1,0,0
2106,0,0,0,0,0,1,0,0
2107,0,0,0,0,0,1,0,0
2108,0,0,0,0,0,1,0,0
2109,0,0,0,0,0,1,0,0
2110,0,0,0,0,0,1,0,0
2111,0,0,0,0,0,1,0,0
2112,0,0,0,0,0,1,0,0
2113,0,0,0,0,0,1,0,0
2114,40,0,0,0,0,1,0,0
2115,31.5789473684,0,0,0,0,1,0,0
2116,70,0,0,0,0,1,0,0
2117,0,0,0,0,0,1,0,0
2118,60,0,0,0,0,0,0,0
2119,72,0,0,0,0,0,0,0
2120,33.3333333333,0,0,0,0,0,0,0
2121,0,0,0,0,0,0,0,0
2122,0,0,0,0,0,0,0,0
2123,66.6666666667,0,0,0,0,0,0,0
2124,0,0,0,0,0,0,0,0
2125,100,0,0,0,0,0,0,0
2126,0,0,0,0,0,0,0,0
2127,0,0,0,0,0,0,0,0
2128,0,0,0,0,0,0,0,0
2129,0,0,0,0,0,0,0,0
2130,44.4444444444,0,0,0,0,0,0,0
2131,0,0,0,0,0,0,0,0
2132,0,0,0,0,0,0,0,0
2133,100,0,0,0,0,0,0,0
2134,0,0,0,0,0,0,0,0
2135,0,0,0,0,0,0,0,0
2136,0,0,0,0,0,0,0,0
2137,40,0,0,0,0,0,0,0
2138,18.6440677966,0,0,0,0,0,0,0
2139,9.0909090909,0,0,0,0,0,0,0
2140,0,0,0,0,0,0,0,0
2141,7.1428571429,0,0,0,0,0,0,0
2142,0,0,0,0,0,0,0,0
2143,0,0,0,0,0,0,0,0
2144,0,0,0,0,0,0,0,0
2145,0,0,0,0,0,0,0,0
2146,0,0,0,0,0,0,0,0
2147,0,0,0,0,0,0,0,0
2148,27.7777777778,0,0,0,0,0,0,0
2149,0,0,0,0,0,1,0,0
2150,0,0,0,0,0,1,0,0
2151,0,0,0,0,0,1,0,0
2152,0,0,0,0,0,1,0,0
2153,0,0,0,0,0,1,0,0
2154,0,0,0,0,0,1,0,0
2155,0,0,0,0,0,1,0,0
2156,0,0,0,0,0,1,0,0
2157,0,0,0,0,0,1,0,0
2158,50,0,0,0,0,1,0,0
2159,0,0,0,0,0,1,0,0
2160,0,0,0,0,0,1,0,0
2161,0,0,0,0,0,1,0,0
2162,93.75,0,0,0,0,1,0,0
2163,0,0,0,0,0,1,0,0
2164,71.4285714286,0,0,0,0,1,0,0
2165,0,0,0,0,0,0,0,0
2166,8.3333333333,0,0,0,0,0,0,0
2167,0,0,0,0,0,1,0,0
2168,0,0,0,0,0,1,0,0
2169,62.5,0,0,0,0,1,0,0
2170,0,0,0,0,0,1,0,0
2171,0,0,0,0,0,0,0,0
2172,0,0,0,0,0,0,0,0
2173,0,0,0,0,0,0,0,0
2174,0,0,0,0,0,0,0,0
2175,0,0,0,0,0,0,0,0
2176,28.5714285714,0,0,0,0,0,0,0
2177,0,0,0,0,0,0,0,0
2178,0,0,0,0,0,0,0,0
2179,0,0,0,0,0,0,0,0
2180,33.3333333333,0,0,0,0,0,0,0
2181,50,0,0,0,0,0,0,0
2182,0,0,0,0,0,0,0,0
2183,0,0,0,0,0,0,0,0
2184,0,0,0,0,0,0,0,0
2185,0,0,0,0,0,0,0,0
2186,0,0,0,0,0,0,0,0
2187,0,0,0,0,0,0,0,0
2188,0,0,0,0,0,0,0,0
2189,0,0,0,0,0,0,0,0
2190,0,0,0,0,0,0,0,0
2191,42.8571428571,0,0,0,0,0,0,0
2192,0,0,0,0,0,0,0,0
2193,30.7692307692,0,0,0,0,0,0,0
2194,50,0,0,0,0,0,0,0
2195,50,0,0,0,0,0,0,0
2196,72.7272727273,0,0,0,0,0,0,0
2197,14.2857142857,0,0,0,0,0,0,0
2198,61.5384615385,0,0,0,0,0,0,0
2199,50,0,0,0,0,0,0,0
2200,20,0,0,0,0,0,0,0
2201,20,0,0,0,0,0,0,0
2202,0,0,0,0,0,0,0,0
2203,0,0,0,0,0,0,0,0
2204,0,0,0,0,0,0,0,0
2205,0,0,0,0,0,0,0,0
2206,66.6666666667,0,0,0,0,0,0,0
2207,0,0,0,0,0,0,0,0
2208,0,0,0,0,0,0,0,0
2209,0,0,0,0,0,0,0,0
2210,100,0,0,0,0,0,0,0
2211,15.625,0,0,0,0,0,0,1
2212,0,0,0,0,0,0,0,1
2213,0,0,0,0,0,0,0,1
2214,0,0,0,0,0,0,0,1
2215,0,0,0,0,0,0,0,1
2216,17.6470588235,0,0,0,0,0,0,1
2217,26.6666666667,0,0,0,0,0,0,1
2218,16.6666666667,0,0,0,0,0,0,1
2219,0,0,0,0,0,0,0,1
2220,60,0,0,0,0,0,0,1
2221,72.2222222222,0,0,0,0,0,0,1
2222,76.9230769231,0,0,0,0,0,0,1
2223,40,0,0,0,0,0,0,1
2224,0,0,0,0,0,0,0,1
2225,0,0,0,0,0,0,0,1
2226,75,0,0,0,0,0,0,1
2227,50,0,0,0,0,1,0,0
2228,0,0,0,0,0,1,0,0
2229,0,0,0,0,0,1,0,0
2230,0,0,0,0,0,1,0,0
2231,0,0,0,0,0,1,0,0
2232,0,0,0,0,0,1,0,0
2233,0,0,0,0,0,1,0,0
2234,0,0,0,0,0,1,0,0
2235,0,0,0,0,0,1,0,0
2236,0,0,0,0,0,1,0,0
2237,25,0,0,0,0,1,0,0
2238,44.4444444444,0,0,0,0,1,0,0
2239,50,0,0,0,0,1,0,0
2240,0,0,0,0,0,1,0,0
2241,0,0,0,0,0,1,0,0
2242,0,0,0,0,0,1,0,0
2243,0,0,0,0,0,1,0,0
2244,0,0,0,0,0,1,0,0
2245,0,0,0,0,0,1,0,0
2246,0,0,0,0,0,1,0,0
2247,0,0,0,0,0,0,0,1
2248,16.6666666667,0,0,0,0,0,0,1
2249,0,0,0,0,0,0,0,1
2250,33.3333333333,0,0,0,0,0,0,1
2251,0,0,0,0,0,0,0,1
2252,50,0,0,0,0,0,0,1
2253,14.2857142857,0,0,0,0,0,0,1
2254,0,0,0,0,0,0,0,1
2255,0,0,0,0,0,0,0,1
2256,37.5,0,0,0,0,0,0,1
2257,0,0,0,0,0,0,0,1
2258,0,0,0,0,0,0,0,1
2259,70,0,0,0,0,0,0,1
2260,77.7777777778,0,0,0,0,0,0,1
2261,0,0,0,0,0,0,0,1
2262,63.6363636364,0,0,0,0,0,0,1
2263,0,0,0,0,0,0,0,1
2264,33.3333333333,0,0,0,0,0,0,1
2265,0,0,0,0,0,0,0,1
2266,0,0,0,0,0,1,0,0
2267,0,0,0,0,0,1,0,0
2268,0,0,0,0,0,0,0,0
2269,0,0,0,0,0,1,0,0
2270,0,0,0,0,0,1,0,0
2271,0,0,0,0,0,1,0,0
2272,0,0,0,0,0,1,0,0
2273,0,0,0,0,0,1,0,0
2274,0,0,0,0,0,1,0,0
2275,0,0,0,0,0,1,0,0
2276,0,0,0,0,0,1,0,0
2277,0,0,0,0,0,1,0,0
2278,0,0,0,0,0,1,0,0
2279,0,0,0,0,0,1,0,0
2280,0,0,0,0,0,1,0,0
2281,0,0,0,0,0,1,0,0
2282,0,0,0,0,0,1,0,0
2283,0,0,0,0,0,1,0,0
2284,0,0,0,0,0,1,0,0
2285,0,0,0,0,0,1,0,0
2286,0,0,0,0,0,1,0,0
2287,66.6666666667,0,0,0,0,0,0,1
2288,40,0,0,0,0,0,0,1
2289,0,0,0,0,0,0,0,1
2290,0,0,0,0,0,0,0,1
2291,37.5,0,0,0,0,0,0,1
2292,0,0,0,0,0,0,0,1
2293,20,0,0,0,0,0,0,1
2294,50,0,0,0,0,0,0,1
2295,0,0,0,0,0,0,0,1
2296,0,0,0,0,0,0,0,1
2297,28.5714285714,0,0,0,0,0,0,1
2298,0,0,0,0,0,0,0,1
2299,0,0,0,0,0,0,0,1
2300,0,0,0,0,0,0,0,1
2301,63.6363636364,0,0,0,0,0,0,1
2302,20,0,0,0,0,0,0,1
2303,0,0,0,0,0,0,0,1
2304,0,0,0,0,0,0,0,1
2305,0,0,0,0,0,0,0,1
2306,25,0,0,0,0,0,0,0
2307,46.6666666667,0,0,0,0,0,0,0
2308,0,0,0,0,0,0,0,0
2309,22.2222222222,0,0,0,0,0,0,0
2310,0,0,0,0,0,0,0,0
2311,0,0,0,0,0,0,0,0
2312,0,0,0,0,0,0,0,0
2313,0,0,0,0,0,0,0,0
2314,50,0,0,0,0,0,0,0
2315,0,0,0,0,0,0,0,0
2316,85.7142857143,0,0,0,0,0,0,0
2317,0,0,0,0,0,0,0,0
2318,25,0,0,0,0,0,0,0
2319,0,0,0,0,0,0,0,0
2320,0,0,0,0,0,0,0,0
2321,0,0,0,0,0,0,0,0
2322,0,0,0,0,0,0,0,0
2323,14.2857142857,0,0,0,0,0,0,0
2324,0,0,0,0,0,0,0,0
2325,0,0,0,0,0,0,0,0
2326,33.3333333333,0,0,0,0,0,0,0
2327,0,0,0,0,0,0,0,0
2328,0,0,0,0,0,0,0,0
2329,50,0,0,0,0,0,0,0
2330,20,0,0,0,0,0,0,0
2331,0,0,0,0,0,0,0,0
2332,0,0,0,0,0,0,0,0
2333,75,0,0,0,0,0,0,0
2334,0,0,0,0,0,0,0,0
2335,0,0,0,0,0,0,0,0
2336,0,0,0,0,0,0,0,0
2337,0,0,0,0,0,0,0,0
2338,66.6666666667,0,0,0,0,0,0,0
2339,100,0,0,0,0,0,0,0
2340,0,0,0,0,0,0,0,0
2341,0,0,0,0,0,0,0,0
2342,0,0,0,0,0,0,0,0
2343,66.6666666667,0,0,0,0,0,0,0
2344,0,0,0,0,0,0,0,0
2345,0,0,0,0,0,0,0,0
2346,25,0,0,0,0,0,0,0
2347,12.5,0,0,0,0,0,0,0
2348,0,0,0,0,0,0,0,0
2349,0,0,0,0,0,0,0,0
2350,25,0,0,0,0,0,0,0
2351,0,0,0,0,0,0,0,0
2352,11.1111111111,0,0,0,0,0,0,0
2353,0,0,0,0,0,0,0,0
2354,0,0,0,0,0,0,0,0
2355,0,0,0,0,0,0,0,0
2356,0,0,0,0,0,0,0,0
2357,0,0,0,0,0,0,0,0
2358,0,0,0,0,0,0,0,0
2359,0,0,0,0,0,0,0,0
2360,0,0,0,0,0,0,0,0
2361,0,0,0,0,0,0,0,0
2362,0,0,0,0,0,0,0,0
2363,0,0,0,0,0,0,0,0
2364,0,0,0,0,0,0,0,0
2365,0,0,0,0,0,0,0,0
2366,0,0,0,0,0,0,0,0
2367,0,0,0,0,0,0,0,0
2368,0,0,0,0,0,0,0,0
2369,0,0,0,0,0,0,0,0
2370,0,0,0,0,0,1,0,0
2371,0,0,0,0,0,1,0,0
2372,48.7179487179,0,0,0,0,1,0,0
2373,0,0,0,0,0,1,0,0
2374,71.4285714286,0,0,0,0,1,0,0
2375,0,0,0,0,0,1,0,0
2376,0,0,0,0,0,1,0,0
2377,0,0,0,0,0,1,0,0
2378,0,0,0,0,0,1,0,0
2379,0,0,0,0,0,1,0,0
2380,0,0,0,0,0,1,0,0
2381,0,0,0,0,0,1,0,0
2382,0,0,0,0,0,1,0,0
2383,28.5714285714,0,0,0,0,1,0,0
2384,9.8214285714,0,0,0,0,1,0,0
2385,0,0,0,0,0,1,0,0
2386,12.0967741935,0,0,0,0,1,0,0
2387,0,0,0,0,0,1,0,0
2388,0,0,0,0,0,1,0,0
2389,0,0,0,0,0,1,0,0
2390,10.5263157895,0,0,0,0,0,0,1
2391,50,0,0,0,0,0,0,1
2392,33.3333333333,0,0,0,0,0,0,1
2393,60,0,0,0,0,0,0,1
2394,18.1818181818,0,0,0,0,0,0,1
2395,0,0,0,0,0,0,0,1
2396,32,0,0,0,0,0,0,1
2397,0,0,0,0,0,0,0,1
2398,0,0,0,0,0,0,0,1
2399,0,0,0,0,0,0,0,1
2400,0,0,0,0,0,0,0,1
2401,60,0,0,0,0,0,0,1
2402,100,0,0,0,0,0,0,1
2403,62.962962963,0,0,0,0,0,0,1
2404,0,0,0,0,0,0,0,1
2405,0,0,0,0,0,0,0,1
2406,25,0,0,0,0,0,0,1
2407,0,0,0,0,0,0,0,0
2408,0,0,0,0,0,0,0,0
2409,27.2727272727,0,0,0,0,0,0,0
2410,52,0,0,0,0,0,0,0
2411,7.6923076923,0,0,0,0,0,0,0
2412,0,0,0,0,0,0,0,0
2413,0,0,0,0,0,0,0,0
2414,0,0,0,0,0,0,0,0
2415,0,0,0,0,0,0,0,0
2416,0,0,0,0,0,0,0,0
2417,60,0,0,0,0,0,0,0
2418,0,0,0,0,0,0,0,0
2419,0,0,0,0,0,0,0,1
2420,0,0,0,0,0,0,0,1
2421,50,0,0,0,0,0,0,1
2422,50,0,0,0,0,0,0,1
2423,0,0,0,0,0,0,0,1
2424,40,0,0,0,0,0,0,1
2425,14.2857142857,0,0,0,0,0,0,1
2426,0,0,0,0,0,0,0,1
2427,73.3333333333,0,0,0,0,0,0,1
2428,0,0,0,0,0,0,0,1
2429,33.3333333333,0,0,0,0,0,0,1
2430,0,0,0,0,0,0,0,1
2431,64.7058823529,0,0,0,0,0,0,1
2432,14.2857142857,0,0,0,0,0,0,1
2433,0,0,0,0,0,0,0,1
2434,100,0,0,0,0,0,0,1
2435,0,0,0,0,0,0,0,1
2436,0,0,0,0,0,0,0,0
2437,0,0,0,0,0,0,0,0
2438,0,0,0,0,0,0,0,0
2439,14.2857142857,0,0,0,0,0,0,0
2440,25,0,0,0,0,0,0,0
2441,0,0,0,0,0,0,0,0
2442,0,0,0,0,0,0,0,0
2443,0,0,0,0,0,0,0,0
2444,0,0,0,0,0,0,0,0
2445,69.2307692308,0,0,0,0,0,0,0
2446,69.2307692308,0,0,0,0,0,0,0
2447,0,0,0,0,0,0,0,0
2448,0,0,0,0,0,0,0,0
2449,0,0,0,0,0,0,0,0
2450,0,0,0,0,0,0,0,0
2451,0,0,0,0,0,0,0,0
2452,0,0,0,0,0,0,0,0
2453,0,0,0,0,0,0,0,0
2454,25,0,0,0,0,0,0,0
2455,0,0,0,0,0,0,0,0
2456,50,0,0,0,0,0,0,0
2457,50,0,0,0,0,0,0,0
2458,50,0,0,0,0,0,0,0
2459,0,0,0,0,0,0,0,0
2460,0,0,0,0,0,0,0,0
2461,0,0,0,0,0,0,0,0
2462,44.4444444444,0,0,0,0,0,0,0
2463,0,0,0,0,0,0,0,0
2464,20,0,0,0,0,0,0,0
2465,0,0,0,0,0,0,0,0
2466,33.3333333333,0,0,0,0,0,0,0
2467,0,0,0,0,0,0,0,1
2468,0,0,0,0,0,0,0,1
2469,21.6981132075,0,0,0,0,0,0,1
2470,54.5454545455,0,0,0,0,0,0,1
2471,0,0,0,0,0,0,0,1
2472,61.9047619048,0,0,0,0,0,0,1
2473,0,0,0,0,0,0,0,1
2474,0,0,0,0,0,0,0,1
2475,0,0,0,0,0,0,0,1
2476,0,0,0,0,0,0,0,1
2477,0,0,0,0,0,0,0,1
2478,0,0,0,0,0,0,0,1
2479,0,0,0,0,0,0,0,1
2480,57.1428571429,0,0,0,0,0,0,1
2481,0,0,0,0,0,0,0,1
2482,67.6470588235,0,0,0,0,0,0,1
2483,0,0,0,0,0,0,0,1
2484,0,0,0,0,0,0,0,1
2485,66.6666666667,0,0,0,0,0,0,1
2486,71.4285714286,0,0,0,0,0,0,1
2487,0,0,0,0,0,0,0,1
2488,0,0,0,0,0,0,0,1
2489,0,0,0,0,0,0,0,0
2490,33.3333333333,0,0,0,0,0,0,0
2491,0,0,0,0,0,0,0,0
2492,50,0,0,0,0,0,0,0
2493,0,0,0,0,0,0,0,0
2494,0,0,0,0,0,0,0,0
2495,0,0,0,0,0,0,0,0
2496,16.6666666667,0,0,0,0,0,0,0
2497,0,0,0,0,0,0,0,0
2498,0,0,0,0,0,0,0,0
2499,85.7142857143,0,0,0,0,0,0,0
2500,0,0,0,0,0,0,0,0
2501,0,0,0,0,0,0,0,0
2502,0,0,0,0,0,0,0,0
2503,20,0,0,0,0,0,0,0
2504,0,0,0,0,0,0,0,0
2505,0,0,0,0,0,0,0,0
2506,37.5,0,0,0,0,0,0,0
2507,42.8571428571,0,0,0,0,0,0,0
2508,16.6666666667,0,0,0,0,0,0,0
2509,0,0,0,0,0,0,0,0
2510,80,0,0,0,0,0,0,0
2511,0,0,0,0,0,0,0,0
2512,8.3333333333,0,0,0,0,0,0,0
2513,0,0,0,0,0,0,0,0
2514,0,0,0,0,0,0,0,0
2515,76.9230769231,0,0,0,0,0,0,0
2516,0,0,0,0,0,0,0,0
2517,45.4545454545,0,0,0,0,0,0,0
2518,100,0,0,0,0,0,0,0
2519,0,0,0,0,0,0,0,0
2520,33.3333333333,0,0,0,0,0,0,0
2521,100,0,0,0,0,0,0,0
2522,0,0,0,0,0,0,0,1
2523,71.4285714286,0,0,0,0,0,0,1
2524,0,0,0,0,0,0,0,1
2525,0,0,0,0,0,0,0,1
2526,0,0,0,0,0,0,0,1
2527,0,0,0,0,0,0,0,1
2528,0,0,0,0,0,0,0,1
2529,28.5714285714,0,0,0,0,0,0,1
2530,36.3636363636,0,0,0,0,0,0,1
2531,0,0,0,0,0,0,0,1
2532,0,0,0,0,0,0,0,1
2533,100,0,0,0,0,0,0,1
2534,0,0,0,0,0,0,0,1
2535,100,0,0,0,0,0,0,1
2536,71.4285714286,0,0,0,0,0,0,1
2537,100,0,0,0,0,0,0,1
2538,0,0,0,0,0,0,0,1
2539,0,0,0,0,0,0,0,1
2540,100,0,0,0,0,0,0,1
2541,66.6666666667,0,0,0,0,0,0,1
2542,0,0,0,0,0,0,0,1
2543,66.6666666667,0,0,0,0,0,0,1
2544,0,0,0,0,0,0,0,0
2545,0,0,0,0,0,0,0,0
2546,0,0,0,0,0,0,0,0
2547,0,0,0,0,0,0,0,0
2548,0,0,0,0,0,0,0,0
2549,0,0,0,0,0,0,0,0
2550,0,0,0,0,0,0,0,0
2551,0,0,0,0,0,0,0,0
2552,0,0,0,0,0,0,0,0
2553,0,0,0,0,0,0,0,0
2554,0,0,0,0,0,0,0,0
2555,0,0,0,0,0,0,0,0
2556,0,0,0,0,0,0,0,0
2557,0,0,0,0,0,0,0,0
2558,0,0,0,0,0,0,0,0
2559,0,0,0,0,0,0,0,0
2560,50,0,0,0,0,0,0,0
2561,0,0,0,0,0,0,0,0
2562,0,0,0,0,0,0,0,0
2563,0,0,0,0,0,0,0,0
2564,0,0,0,0,0,0,0,0
2565,42.8571428571,0,0,0,0,0,0,0
2566,0,0,0,0,0,0,0,0
2567,0,0,0,0,0,0,0,0
2568,0,0,0,0,0,0,0,0
2569,0,0,0,0,0,0,0,0
2570,0,0,0,0,0,0,0,0
2571,0,0,0,0,0,0,0,0
2572,0,0,0,0,0,0,0,0
2573,0,0,0,0,0,0,0,0
2574,0,0,0,0,0,0,0,0
2575,0,0,0,0,0,0,0,0
2576,0,0,0,0,0,0,0,0
2577,0,0,0,0,0,0,0,0
2578,0,0,0,0,0,0,0,0
2579,0,0,0,0,0,0,0,0
2580,100,0,0,0,0,0,0,0
2581,40,0,0,0,0,0,0,0
2582,0,0,0,0,0,0,0,0
2583,0,0,0,0,0,0,0,0
2584,40,0,0,0,0,0,0,0
2585,0,0,0,0,0,0,0,0
2586,0,0,0,0,0,0,0,0
2587,57.1428571429,0,0,0,0,0,0,0
2588,33.3333333333,0,0,0,0,0,0,0
2589,0,0,0,0,0,0,0,0
2590,0,0,0,0,0,0,0,0
2591,0,0,0,0,0,0,0,0
2592,0,0,0,0,0,0,0,0
2593,0,0,0,0,0,0,0,0
2594,62.5,0,0,0,0,0,0,0
2595,0,0,0,0,0,0,0,0
2596,0,0,0,0,0,0,0,0
2597,0,0,0,0,0,0,0,0
2598,0,0,0,0,0,0,0,0
2599,0,0,0,0,0,0,0,0
2600,41.1764705882,0,0,0,0,0,0,1
2601,0,0,0,0,0,0,0,1
2602,0,0,0,0,0,0,0,1
2603,0,0,0,0,0,0,0,1
2604,0,0,0,0,0,0,0,1
2605,0,0,0,0,0,0,0,1
2606,0,0,0,0,0,0,0,1
2607,0,0,0,0,0,0,0,1
2608,100,0,0,0,0,0,0,0
2609,0,0,0,0,0,0,0,1
2610,36.8421052632,0,0,0,0,0,0,1
2611,0,0,0,0,0,0,0,1
2612,0,0,0,0,0,0,0,0
2613,0,0,0,0,0,0,0,1
2614,0,0,0,0,0,0,0,0
2615,14.2857142857,0,0,0,0,0,0,0
2616,0,0,0,0,0,0,0,1
2617,25,0,0,0,0,0,0,0
2618,0,0,0,0,0,0,0,0
2619,50,0,0,0,0,0,0,0
2620,16.6666666667,0,0,0,0,0,0,0
2621,0,0,0,0,0,0,0,0
2622,0,0,0,0,0,0,0,0
2623,0,0,0,0,0,0,0,0
2624,100,0,0,0,0,0,0,0
2625,0,0,0,0,0,0,0,0
2626,0,0,0,0,0,0,0,0
2627,13.7931034483,0,0,0,0,0,0,0
2628,0,0,0,0,0,0,0,0
2629,0,0,0,0,0,0,0,0
2630,25,0,0,0,0,0,0,0
2631,12.5,0,0,0,0,0,0,0
2632,0,0,0,0,0,1,0,0
2633,0,0,0,0,0,1,0,0
2634,11.1111111111,0,0,0,0,1,0,0
2635,0,0,0,0,0,1,0,0
2636,0,0,0,0,0,1,0,0
2637,0,0,0,0,0,1,0,0
2638,0,0,0,0,0,1,0,0
2639,0,0,0,0,0,1,0,0
2640,50,0,0,0,0,1,0,0
2641,33.3333333333,0,0,0,0,1,0,0
2642,0,0,0,0,0,1,0,0
2643,0,0,0,0,0,0,0,0
2644,0,0,0,0,0,0,0,0
2645,0,0,0,0,0,0,0,0
2646,0,0,0,0,0,0,0,0
2647,0,0,0,0,0,0,0,0
2648,0,0,0,0,0,0,0,0
2649,0,0,0,0,0,0,0,0
2650,0,0,0,0,0,0,0,0
2651,0,0,0,0,0,0,0,0
2652,0,0,0,0,0,0,0,0
2653,0,0,0,0,0,0,0,0
2654,0,0,0,0,0,0,0,0
2655,0,0,0,0,0,0,0,0
2656,0,0,0,0,0,0,0,0
2657,0,0,0,0,0,0,0,0
2658,0,0,0,0,0,0,0,0
2659,77.7777777778,0,0,0,0,0,0,0
2660,0,0,0,0,0,0,0,0
2661,0,0,0,0,0,0,0,0
2662,0,0,0,0,0,0,0,0
2663,0,0,0,0,0,0,0,0
2664,0,0,0,0,0,0,0,0
2665,0,0,0,0,0,0,0,0
2666,0,0,0,0,0,0,0,0
2667,0,0,0,0,0,0,0,0
2668,0,0,0,0,0,0,0,0
2669,53.3333333333,0,0,0,0,0,0,0
2670,0,0,0,0,0,0,0,0
2671,0,0,0,0,0,0,0,0
2672,0,0,0,0,0,0,0,0
2673,0,0,0,0,0,0,0,0
2674,16.6666666667,0,0,0,0,0,0,0
2675,0,0,0,0,0,0,0,0
2676,0,0,0,0,0,0,0,0
2677,0,0,0,0,0,0,0,0
2678,0,0,0,0,0,0,0,0
2679,22.2222222222,0,0,0,0,0,0,0
2680,0,0,0,0,0,0,0,0
2681,0,0,0,0,0,0,0,0
2682,33.3333333333,0,0,0,0,0,0,0
2683,0,0,0,0,0,0,0,0
2684,0,0,0,0,0,0,0,0
2685,0,0,0,0,0,0,0,0
2686,0,0,0,0,0,0,0,0
2687,36.3636363636,0,0,0,0,0,0,0
2688,0,0,0,0,0,0,0,0
2689,8.6956521739,0,0,0,0,0,0,0
2690,14.2857142857,0,0,0,0,0,0,0
2691,0,0,0,0,0,0,0,0
2692,50,0,0,0,0,0,0,0
2693,0,0,0,0,0,0,0,0
2694,0,0,0,0,0,0,0,0
2695,0,0,0,0,0,0,0,0
2696,0,0,0,0,0,0,0,0
2697,0,0,0,0,0,0,0,0
2698,26.4150943396,0,0,0,0,0,0,0
2699,0,0,0,0,0,0,0,0
2700,0,0,0,0,0,0,0,0
2701,0,0,0,0,0,0,0,0
2702,0,0,0,0,0,0,0,0
2703,16.6666666667,0,0,0,0,0,0,0
2704,8.3333333333,0,0,0,0,0,0,0
2705,0,0,0,0,0,0,0,0
2706,0,0,0,0,0,0,0,0
2707,0,0,0,0,0,0,0,0
2708,0,0,0,0,0,0,0,0
2709,0,0,0,0,0,0,0,0
2710,0,0,0,0,0,0,0,0
2711,0,0,0,0,0,0,0,0
2712,25,0,0,0,0,0,0,0
2713,27.2727272727,0,0,0,0,0,0,0
2714,0,0,0,0,0,0,0,0
2715,40,0,0,0,0,0,0,0
2716,0,0,0,0,0,0,0,0
2717,28.5714285714,0,0,0,0,0,0,0
2718,0,0,0,0,0,0,0,0
2719,0,0,0,0,0,0,0,0
2720,0,0,0,0,0,0,0,0
2721,0,0,0,0,0,0,0,0
2722,0,0,0,0,0,0,0,0
2723,16.6666666667,0,0,0,0,0,0,0
2724,57.1428571429,0,0,0,0,0,0,0
2725,40,0,0,0,0,0,0,0
2726,0,0,0,0,0,0,0,0
2727,0,0,0,0,0,0,0,0
2728,0,0,0,0,0,0,0,0
2729,0,0,0,0,0,0,0,0
2730,16.6666666667,0,0,0,0,0,0,0
2731,14.2857142857,0,0,0,0,0,0,0
2732,0,0,0,0,0,0,0,0
2733,0,0,0,0,0,0,0,0
2734,0,0,0,0,0,0,0,0
2735,0,0,0,0,0,0,0,0
2736,0,0,0,0,0,0,0,0
2737,33.3333333333,0,0,0,0,0,0,0
2738,25,0,0,0,0,0,0,0
2739,100,0,0,0,0,0,0,0
2740,100,0,0,0,0,0,0,0
2741,0,0,0,0,0,0,0,0
2742,0,0,0,0,0,0,0,0
2743,11.1111111111,0,0,0,0,0,0,0
2744,28.5714285714,0,0,0,0,0,0,0
2745,0,0,0,0,1,0,0,0
2746,50,0,0,0,1,0,0,0
2747,0,0,0,0,1,0,0,0
2748,0,0,0,0,1,0,0,0
2749,100,0,0,0,1,0,0,0
2750,6.25,0,0,0,0,0,0,0
2751,0,0,0,0,0,0,0,0
2752,0,0,0,0,0,0,0,0
2753,0,0,0,0,0,0,0,0
2754,0,0,0,0,0,0,0,0
2755,9.2592592593,0,0,0,0,0,0,0
2756,0,0,0,0,0,0,0,0
2757,92.3076923077,0,0,0,0,0,0,0
2758,7.5757575758,0,0,0,0,0,0,0
2759,13.6690647482,0,0,0,0,0,0,0
2760,1.2048192771,0,0,0,0,0,0,0
2761,20,0,0,0,0,0,0,0
2762,40,0,0,0,0,0,0,0
2763,69.2307692308,0,0,0,0,0,0,0
2764,12.5,0,0,0,0,0,0,0
2765,66.6666666667,0,0,0,0,0,0,1
2766,60,0,0,0,0,0,0,1
2767,0,0,0,0,0,0,0,1
2768,0,0,0,0,0,0,0,1
2769,0,0,0,0,0,0,0,1
2770,50,0,0,0,0,0,0,0
2771,20,0,0,0,0,0,0,1
2772,100,0,0,0,0,0,0,1
2773,50,0,0,0,1,0,0,0
2774,12.5,0,0,0,1,0,0,0
2775,0,0,0,0,1,0,0,0
2776,0,0,0,0,1,0,0,0
2777,0,0,0,0,1,0,0,0
2778,0,0,0,0,1,0,0,0
2779,0,0,0,0,1,0,0,0
2780,0,0,0,0,1,0,0,0
2781,0,0,0,0,1,0,0,0
2782,0,0,0,0,1,0,0,0
2783,20,0,0,0,0,0,0,0
2784,0,0,0,0,0,0,0,0
2785,0,0,0,0,0,0,0,0
2786,20,0,0,0,1,0,0,0
2787,0,0,0,0,1,0,0,0
2788,0,0,0,0,1,0,0,0
2789,50,0,0,0,1,0,0,0
2790,66.6666666667,0,0,0,1,0,0,0
2791,100,0,0,0,1,0,0,0
2792,50,0,0,0,1,0,0,0
2793,0,0,0,0,1,0,0,0
2794,0,0,0,0,1,0,0,0
2795,0,0,0,0,1,0,0,0
