2048	268441601	16947867	1	1	29
2048	536881153	267934765	2	1	30
2048	1073750017	180790047	4	1	31
2048	8589987841	2678760785	8	1	34
4096	2199023288321	1858080237421	16	1	42
4096	549755904001	205676025010	1	2	40
4096	562949953548289	306825434113867	1	3	50
4096	1099511795713	259746794841	2	2	41
4096	2199023288321	640974049820	4	2	42
4096	17592186064897	8747359962295	8	2	45
4096	2251799813824513	1654949585260297	16	2	52
4096	1125899906949121	395927927481109	2	3	51
4096	2251799813824513	1654949585260297	4	3	52
4096	18014398509506561	5194839201355896	8	3	55
4096	2305843009213800449	87143482071848776	16	3	62
4096	536903681	244943466	1	1	30
8192	1073750017	996876704	1	1	31
8192	2199023288321	811106965620	1	2	42
8192	2251799813824513	1702348893305000	1	3	52
16384	2147565569	1426335605	1	1	32
16384	4398047051777	1728512272846	1	2	43
16384	9007199255019521	7097928521595677	1	3	54
32768	4295294977	4266048797	1	1	33
32768	17592186175489	14007499357814	1	2	45
32768	36028797019389953	12590449151787552	1	3	56
65536	8590458881	3480372588	1	1	34
65536	35184372744193	30104385485400	1	2	46
65536	144115188078673921	84302664994466443	1	3	58
